listener,condition,isi,delta,f,response
L0,roved,2.0,-0.75,3569.0,0.0
L0,roved,2.0,-1.0,3082.0,0.0
L0,roved,2.0,-1.0,621.0,0.0
L0,roved,2.0,0.25,1189.0,1.0
L0,roved,2.0,-0.5,1239.0,0.0
L0,roved,2.0,0.75,535.0,1.0
L0,roved,2.0,1.0,2860.0,1.0
L0,roved,2.0,0.0,1330.0,0.0
L0,roved,2.0,0.75,3006.0,1.0
L0,roved,2.0,1.0,3544.0,1.0
L0,roved,2.0,-0.25,3215.0,1.0
L0,roved,2.0,-0.75,277.0,0.0
L0,roved,2.0,0.75,3457.0,1.0
L0,roved,2.0,0.0,2019.0,0.0
L0,roved,2.0,-0.25,3219.0,0.0
L0,roved,2.0,0.25,365.0,1.0
L0,roved,2.0,1.0,299.0,1.0
L0,roved,2.0,0.5,1144.0,1.0
L0,roved,2.0,0.5,1892.0,1.0
L0,roved,2.0,-0.75,1786.0,0.0
L0,roved,2.0,-0.5,1095.0,0.0
L0,roved,2.0,1.0,653.0,1.0
L0,roved,2.0,0.75,2956.0,1.0
L0,roved,2.0,-0.75,1790.0,0.0
L0,roved,2.0,0.5,2439.0,1.0
L0,roved,2.0,0.0,187.0,0.0
L0,roved,2.0,-1.0,1984.0,0.0
L0,roved,2.0,-0.5,3560.0,0.0
L0,roved,2.0,0.75,934.0,1.0
L0,roved,2.0,0.25,484.0,1.0
L0,roved,2.0,0.5,545.0,1.0
L0,roved,2.0,-0.5,1507.0,0.0
L0,roved,2.0,0.0,2820.0,1.0
L0,roved,2.0,-0.75,2260.0,0.0
L0,roved,2.0,-0.25,365.0,0.0
L0,roved,2.0,-1.0,2694.0,0.0
L0,roved,2.0,0.0,1373.0,0.0
L0,roved,2.0,-1.0,2866.0,0.0
L0,roved,2.0,0.5,1406.0,1.0
L0,roved,2.0,-0.5,2759.0,0.0
L0,roved,2.0,-0.75,2650.0,0.0
L0,roved,2.0,0.25,239.0,1.0
L0,roved,2.0,1.0,2452.0,1.0
L0,roved,2.0,0.25,1905.0,1.0
L0,roved,2.0,-0.25,3232.0,0.0
L0,roved,2.0,-0.25,2326.0,0.0
L0,roved,10.0,-0.5,3173.0,0.0
L0,roved,10.0,0.75,2844.0,1.0
L0,roved,10.0,0.5,1400.0,1.0
L0,roved,10.0,-0.5,644.0,0.0
L0,roved,10.0,1.0,221.0,1.0
L0,roved,10.0,0.5,674.0,1.0
L0,roved,10.0,-0.25,716.0,0.0
L0,roved,10.0,-1.0,411.0,0.0
L0,roved,10.0,0.5,3510.0,1.0
L0,roved,10.0,1.0,1100.0,1.0
L0,roved,10.0,0.75,317.0,1.0
L0,roved,10.0,-1.0,2247.0,0.0
L0,roved,10.0,0.25,3518.0,1.0
L0,roved,10.0,-0.75,1000.0,1.0
L0,roved,10.0,-0.25,2738.0,0.0
L0,roved,10.0,0.25,3162.0,1.0
L0,roved,10.0,1.0,2109.0,1.0
L0,roved,10.0,0.5,2501.0,1.0
L0,roved,10.0,-0.75,2002.0,0.0
L0,roved,10.0,-0.75,1028.0,0.0
L0,roved,10.0,0.0,23.0,0.0
L0,roved,10.0,1.0,1820.0,1.0
L0,roved,10.0,0.0,1808.0,0.0
L0,roved,10.0,-0.25,677.0,1.0
L0,roved,10.0,0.75,2159.0,1.0
L0,roved,10.0,0.25,2908.0,0.0
L0,roved,10.0,-1.0,1652.0,0.0
L0,roved,10.0,-0.25,1261.0,1.0
L0,roved,10.0,0.75,2673.0,1.0
L0,roved,10.0,-0.5,949.0,0.0
L0,roved,10.0,0.75,1306.0,1.0
L0,roved,10.0,-0.75,1846.0,0.0
L0,roved,10.0,1.0,2452.0,1.0
L0,roved,10.0,0.0,3273.0,1.0
L0,roved,10.0,0.0,2699.0,0.0
L0,roved,10.0,0.25,1186.0,0.0
L0,roved,10.0,0.25,1701.0,1.0
L0,roved,10.0,-1.0,2440.0,0.0
L0,roved,10.0,0.5,238.0,1.0
L0,roved,10.0,-0.5,2599.0,0.0
L0,roved,10.0,0.0,3417.0,0.0
L0,roved,10.0,-0.25,2237.0,0.0
L0,roved,10.0,-1.0,1804.0,0.0
L0,roved,10.0,-0.75,2672.0,0.0
L0,roved,10.0,-0.5,3375.0,0.0
L0,roved,5.0,-0.25,1391.0,0.0
L0,roved,5.0,-1.0,1927.0,0.0
L0,roved,5.0,0.25,138.0,1.0
L0,roved,5.0,-1.0,2224.0,0.0
L0,roved,5.0,0.25,3467.0,1.0
L0,roved,5.0,-1.0,1410.0,0.0
L0,roved,5.0,0.75,3174.0,1.0
L0,roved,5.0,0.0,1536.0,1.0
L0,roved,5.0,1.0,3339.0,1.0
L0,roved,5.0,0.5,506.0,1.0
L0,roved,5.0,0.0,1869.0,1.0
L0,roved,5.0,1.0,3369.0,1.0
L0,roved,5.0,-0.75,527.0,0.0
L0,roved,5.0,0.0,1160.0,0.0
L0,roved,5.0,0.5,2361.0,1.0
L0,roved,5.0,-0.25,3411.0,0.0
