listener,condition,isi,delta,trials,num,prop,a,b,l,s,d,ppc_lo,ppc_hi,pro_pp_errors
L0,fixed,5.0,0.75,40.0,40.0,1.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.975,1.0,0.0029325
L0,fixed,5.0,1.0,40.0,40.0,1.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.975,1.0,0.0028875000000000003
L0,fixed,10.0,-1.0,40.0,0.0,0.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.05,0.007875
L0,fixed,10.0,-0.75,40.0,0.0,0.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.05,0.008182499999999999
L0,fixed,10.0,-0.5,40.0,0.0,0.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.075,0.0196775
L0,fixed,10.0,-0.25,40.0,8.0,0.2,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.05,0.3,0.06171
L0,fixed,10.0,0.0,40.0,23.0,0.575,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.425,0.75,0.0660225
L0,fixed,10.0,0.25,40.0,38.0,0.95,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.825,1.0,0.036265
L0,fixed,10.0,0.5,40.0,39.0,0.975,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.95,1.0,0.0201125
L0,fixed,10.0,0.75,40.0,40.0,1.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.975,1.0,0.0030225
L0,fixed,10.0,1.0,40.0,40.0,1.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.975,1.0,0.0027949999999999997
L0,roved,2.0,-1.0,40.0,0.0,0.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.0,0.05,0.0111775
L0,roved,2.0,-0.75,40.0,0.0,0.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.0,0.05,0.0116475
L0,roved,2.0,-0.5,40.0,2.0,0.05,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.0,0.075,0.030205
L0,roved,2.0,-0.25,40.0,8.0,0.2,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.05,0.3,0.0560375
L0,roved,2.0,0.0,40.0,17.0,0.425,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.45,0.75,0.1765825
L0,roved,2.0,0.25,40.0,36.0,0.9,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.825,1.0,0.04136
L0,roved,2.0,0.5,40.0,39.0,0.975,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.95,1.0,0.01857
L0,roved,2.0,0.75,40.0,40.0,1.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.95,1.0,0.006215
